Date,Open,High,Low,Close,Volume
2020-01-02,150.41533767385138,152.26260717686054,149.98904693545595,152.1584014892578,22622100
2020-01-03,149.97959446814662,151.52371505612567,149.73328220562672,150.26377868652344,21116200
2020-01-06,148.8049515119439,150.7185409842738,148.26497244870802,150.6522216796875,20813700
2020-01-07,150.92684339093725,151.25839630947817,149.03220572520078,149.27850341796875,21634100
2020-01-08,150.55741741152548,152.32891395537885,149.62904874222338,151.65631103515625,27746500
2020-01-09,153.31413455747898,153.67412047600544,152.5468083247831,153.55096435546875,21385000
2020-01-10,154.24254291815313,154.62146487473208,152.6889253133197,152.8404998779297,20725900
2020-01-13,153.23833928861814,154.70668685049705,152.7646797173632,154.6782684326172,21626500
2020-01-14,154.78249955826826,154.98144297107078,153.20047806483123,153.58888244628906,23477400
2020-01-15,154.0530758377426,155.303544381157,154.00572143181222,154.5835723876953,21417900
2020-01-16,155.69188726038482,157.4823196362133,155.3887382345589,157.41600036621094,23865400
2020-01-17,158.60016218369577,158.64753102974288,156.7149919685834,158.29702758789062,34371700
2020-01-21,157.89913292781256,159.32959395002115,157.66230316439436,157.72862243652344,29517200
2020-01-22,158.58120365895033,158.66647335945913,156.95181373171633,156.97076416015625,24138800
2020-01-23,157.4349946879729,158.01286003149272,156.5634626781463,157.93707275390625,19680800
2020-01-24,158.68543005957545,158.70438049049056,155.7866356921332,156.34555053710938,24918100
2020-01-27,152.66049687326566,154.77302928468092,151.76054644422686,153.73097229003906,32078100
2020-01-28,155.15191986936853,157.0276076258131,154.4793314082179,156.74342346191406,24899900
2020-01-29,158.9980085840233,159.86007229491779,156.96127863009366,159.18746948242188,34754500
2020-01-30,164.8809254745799,164.8809254745799,161.79265533503514,163.67782592773438,51597500
2020-01-31,163.13781757767464,163.31779605239475,160.6463638869867,161.26211547851562,36142700
2020-02-03,161.45160480639652,165.30720090044179,161.423186386706,165.1935272216797,30107000
2020-02-04,167.80809677985968,171.1237134714776,167.02182022982586,170.631103515625,36433300
2020-02-05,174.3351158434909,174.49615834021887,169.0111876454054,170.4226837158203,39186300
2020-02-06,171.43635009131322,174.13621548794777,170.5742861837626,173.9562225341797,27751400
2020-02-07,173.21732428358098,175.85087054547617,172.86680634459037,174.20252990722656,33529100
2020-02-10,173.90887006854624,178.89176413177015,173.59625298069977,178.75914001464844,35844300
2020-02-11,180.60638491548957,180.65375376260124,173.8330589718601,174.72354125976562,53159900
2020-02-12,175.80348736530172,176.0592675799467,172.2699910279323,174.9793243408203,47062900
2020-02-13,173.43519723039753,176.41924686578838,173.23625384239782,174.03201293945312,35295800
2020-02-14,173.59622590515036,175.64243864012167,173.0278286604553,175.58560180664062,23149500
2020-02-18,175.8319397329295,177.8118336444515,175.72773402943122,177.36659240722656,27792200
2020-02-19,178.63943981115193,178.75342396936063,177.1290917371865,177.8985137939453,29997500
2020-02-20,177.5850405545757,177.87001544081576,172.02809549780588,175.18177795410156,36862400
2020-02-21,173.99440364976678,174.30787459136025,168.37095788184524,169.64382934570312,48572600
2020-02-24,159.36585498840046,165.80622141128146,155.0532703487702,162.32955932617188,68311100
2020-02-25,165.473704157799,166.0816437187585,159.25181388106563,159.65078735351562,68073300
2020-02-26,161.20865045967483,164.58080718946448,159.78379060390208,161.64559936523438,56206100
2020-02-27,155.1387438829772,158.66288904796488,150.06623191703775,150.25621032714844,93174900
2020-02-28,144.7752687189207,155.50921622258826,144.38580353335962,153.8943634033203,97012700
2020-03-02,157.02908558517254,164.25787667339787,154.1793652796082,164.13438415527344,71030800
2020-03-03,165.0937913536831,166.23367652237985,154.13185965355714,156.26914978027344,71677000
2020-03-04,160.04977122484704,162.14905673296266,157.32352937599967,162.00657653808594,49814400
2020-03-05,157.7319983863141,162.31054079350352,157.39003142065653,157.94097900390625,47817300
2020-03-06,154.46432171432747,154.93927504171984,148.18543814642317,153.47642517089844,72821100
2020-03-09,143.435889783358,149.84775902864055,142.48598322850134,143.07492065429688,70419300
2020-03-10,150.2372411030131,152.96346858405525,144.93676019104754,152.85897827148438,65354400
2020-03-11,149.25881588095203,149.8002550593637,143.57836446468625,145.93414306640625,56371600
2020-03-12,138.0214158544372,145.78215013607596,131.6380430840003,132.093994140625,93226400
2020-03-13,140.11122857796408,153.79938665871734,133.68035660445514,150.87367248535156,92727400
2020-03-16,132.98691081630918,141.86854244359614,128.23737828715525,128.63633728027344,87905900
2020-03-17,132.98689141306144,140.11118916733258,128.2373595768807,139.227783203125,81059800
2020-03-18,131.08712725461115,138.68638100850166,128.2564092897263,133.3668975830078,81593200
2020-03-19,135.61814929503072,142.62844911064573,132.03699788391367,135.5611572265625,85922700
2020-03-20,138.68639973692893,139.73130306696476,129.0543448829221,130.46971130371094,84866200
2020-03-23,130.14673789897077,133.5284186057588,125.8816652354361,129.1683349609375,78975200
2020-03-24,136.54909590592504,142.10605621534557,134.1933312141267,140.90916442871094,82516700
2020-03-25,141.4505605875255,146.59905135729474,137.204477967515,139.56024169921875,75638200
2020-03-26,140.96613087253797,148.81236851080732,140.93763483465182,148.2899169921875,64568100
2020-03-27,144.14831530529963,147.13102121684818,141.7260507653704,142.2010040283203,57042300
2020-03-30,144.8037851504322,152.55502759461282,142.4955042449224,152.20355224609375,63420300
2020-03-31,151.41509857414286,156.52560046154846,148.71736744542542,149.8097686767578,77927200
2020-04-01,145.33572706359047,149.8477839495516,143.26493738693705,144.4903106689453,57969900
2020-04-02,144.25280649978632,147.69146350670735,142.8279467020778,147.48248291015625,49630700
2020-04-03,147.33051565835152,149.49630149094543,144.56628404497476,146.12413024902344,41243300
