Date,Open,High,Low,Close,Volume
2020-01-02,122.38447403600527,122.83956392879125,121.41854177041897,122.79313659667969,2204200
2020-01-03,121.01919275564761,123.03462959783003,120.95417180656466,122.38449096679688,1963500
2020-01-06,122.05939522875582,123.11819630926381,121.61358797695166,122.83956146240234,2102900
2020-01-07,122.31945029155321,123.46183757127855,122.31945029155321,123.0717544555664,2448300
2020-01-08,123.02529004330145,124.65064295484738,122.60733081419892,124.1862564086914,5188600
2020-01-09,124.96647644983234,126.64755420642854,124.46493082678447,126.2388916015625,4522800
2020-01-10,126.10883747336818,128.42148809104592,125.87664414849132,128.17071533203125,4177600
2020-01-13,128.35648005322943,130.01899236267198,128.06856256896864,129.0437774658203,5117100
2020-01-14,129.09022019062914,130.86416661700218,128.28217769430395,130.63197326660156,4685200
2020-01-15,130.56692497145002,131.59786368621977,130.03751749837366,131.05917358398438,3676500
2020-01-16,131.7279173551195,131.8579450487759,129.88895020999146,131.3563995361328,3794800
2020-01-17,130.84560716262544,131.644352890348,129.43386756135715,129.63819885253906,5393200
2020-01-21,129.56386990428902,131.48643735702024,128.57007571252046,130.87344360351562,4849500
2020-01-22,131.1892096613273,132.11798282707122,130.66909895602333,131.4771270751953,2742100
2020-01-23,131.1892137839342,131.6443177513537,129.9167990419048,131.15206909179688,3138700
2020-01-24,131.74649355259987,131.87652124306206,128.82084925926785,129.1645050048828,3183300
2020-01-27,127.55772218411603,129.19237226938756,127.55772218411603,128.45863342285156,2826400
2020-01-28,128.811564258729,129.91680669330177,128.38432232823882,129.34095764160156,2649100
2020-01-29,129.57316376213922,131.08706884370957,129.07163239342344,129.95396423339844,2815500
2020-01-30,128.33791942885514,133.48333271557885,128.26363001786274,132.50811767578125,5243400
2020-01-31,132.6752929594161,132.6752929594161,129.5360341643801,129.6939239501953,3913500
2020-02-03,130.52050667874357,131.48643881716626,129.73104372937627,130.95703125,5137800
2020-02-04,132.1644351551098,133.80836776139967,131.68146910118045,133.22323608398438,3177500
2020-02-05,134.46781239318264,136.86404947784507,134.2356190420172,136.85476684570312,4060900
2020-02-06,137.21695102995622,137.33768190318509,136.35318462633774,136.80828857421875,3285000
2020-02-07,136.73397814458446,136.73397814458446,135.02503902649488,135.98167419433594,2670400
2020-02-10,131.42142189981843,135.18295659777328,131.0684835109273,135.1457977294922,4892100
2020-02-11,135.35015142185893,135.4708965058508,132.9817762808419,133.97557067871094,2976400
2020-02-12,134.36561885236287,134.57923272293263,133.26967326496163,133.28823852539062,3953200
2020-02-13,133.37229075151768,134.19385218643149,132.3733454390282,132.3826904296875,3455500
2020-02-14,132.80277606277383,132.86813400302674,131.2343564416218,131.74781799316406,2273700
2020-02-18,131.65447133186427,132.53204558179053,131.19700847412966,131.64512634277344,2858200
2020-02-19,132.21459354200326,132.41998383275944,131.0382789866425,131.47706604003906,3082800
2020-02-20,132.223974229217,133.3256004085161,131.82252428147441,132.56939697265625,3417000
2020-02-21,131.9532421452393,133.17623938266354,131.01032398209404,132.60675048828125,2900900
2020-02-24,130.03004062626462,132.18662505348365,128.713679087823,128.97508239746094,4727400
2020-02-25,129.71261508285548,129.983349117977,125.67951131608523,126.41705322265625,3401600
2020-02-26,126.99587148815849,127.92012798680346,124.45651304831543,124.66190338134766,4659000
2020-02-27,124.47521216888337,125.72621589027996,120.47945915891489,120.61016082763672,4292800
2020-02-28,117.98676138992708,118.37887347244074,113.44019575969106,117.75336456298828,7898300
2020-03-02,119.2564443514241,124.16711573500064,117.82805686643638,124.01773834228516,7355700
2020-03-03,124.42852500955954,126.64112254416656,120.14336234934103,121.65576934814453,6936600
2020-03-04,124.19513358727394,131.5051248097032,124.16712710425193,131.0570068359375,5301900
2020-03-05,129.18981537131407,132.48537740677233,128.39626046668266,130.84225463867188,6882100
