Date,Open,High,Low,Close,Volume
2020-01-02,161.54820477014138,164.6526357714122,161.21312791174583,164.57379150390625,5189300
2020-01-03,162.67171569942684,164.35698002825714,162.61258625596034,163.76565551757812,3205400
2020-01-06,162.61257568803768,171.15712558781203,162.07053076147633,170.9403076171875,8836200
2020-01-07,170.72350550157716,174.31083720596507,169.60000093036797,173.45343017578125,8272700
2020-01-08,172.69455475718158,176.26218641465016,172.22150419235936,174.76417541503906,7225100
2020-01-09,176.25232971962382,177.29698999151447,174.72475392819578,177.0013427734375,5952900
2020-01-10,177.237859669247,178.06570195177252,176.10450523755185,177.5926513671875,5111800
2020-01-13,178.6372684329793,181.7811134053781,178.5091596827647,181.18980407714844,6202600
2020-01-14,180.84491596271133,181.18985778492777,179.40603426530365,179.48487854003906,4342300
2020-01-15,179.05122507773535,180.44082708809714,178.00656485593362,178.44020080566406,3886600
2020-01-16,179.59328005803027,180.46055200599037,178.34166672350543,180.046630859375,3485300
2020-01-17,180.57879245424576,180.6872014366705,178.73585479103048,179.59326171875,4577000
2020-01-21,178.88368902345266,183.3087277026451,178.873839129194,182.58929443359375,6302400
2020-01-22,182.70757492844183,183.7423853922518,180.04664447722212,180.10577392578125,4781800
2020-01-23,180.55911471485425,181.6333397385962,178.67674717108136,181.31796264648438,4369000
2020-01-24,182.3231893793265,183.43684394283235,178.50919017582353,179.47500610351562,4653600
2020-01-27,176.1833286430852,179.10049111356284,174.73459730123125,178.0952606201172,4239400
2020-01-28,178.51905087846956,181.19969589306785,177.7404881528651,180.20431518554688,3445300
2020-01-29,181.3376523895656,181.4362114767186,178.99208446497363,179.13992309570312,2785500
2020-01-30,178.28250416780213,183.24958749965654,177.9277125012411,182.98348999023438,3715700
2020-01-31,182.18522570779027,183.33829494820586,178.1741081023215,179.672119140625,4193300
2020-02-03,180.60835633532648,183.18059214455658,179.2187694336088,182.7371063232422,4755200
2020-02-04,185.27979129955725,186.94534076572475,183.949318697895,185.6148681640625,3983200
2020-02-05,187.64505118283847,187.7928898200313,180.21415584959666,182.8061065673828,6162700
2020-02-06,184.12671155587748,184.84614479167627,181.57419052625826,184.0281524658203,4102700
2020-02-07,184.14643046160305,185.92037381789078,182.96378150673635,183.03277587890625,3713100
2020-02-10,183.4762626595001,186.53141407857316,182.87508828496016,186.38357543945312,3873500
2020-02-11,188.70943674609086,189.81324148766322,185.92038272768235,186.3737335205078,4299200
2020-02-12,186.96502585047878,187.76330326928525,184.0675633392521,186.71864318847656,4535400
2020-02-13,185.77257925061906,188.28568611545725,185.69373497210552,185.91055297851562,3132100
2020-02-14,186.61027436906843,187.4972461279266,185.3783607939835,187.2015838623047,3599400
2020-02-18,188.18709953443368,188.72914447132595,186.1864732530001,188.3250732421875,4957000
2020-02-19,189.22192341601945,191.11414084561875,189.02482025339592,190.07933044433594,3903200
2020-02-20,191.19294910740896,192.88806305511295,187.0241586029763,190.5622100830078,5451200
2020-02-21,189.06421018076574,189.26131331764952,184.0182976941148,186.75807189941406,5242100
2020-02-24,176.20304887819708,184.44208714366687,176.20304887819708,183.24960327148438,8463300
2020-02-25,185.74300558589135,187.23115179643577,176.8337980367831,178.64718627929688,11361100
2020-02-26,173.9855872212074,180.02689536534209,171.72872848226612,176.28187561035156,13923100
2020-02-27,169.71827839548789,175.74972253104065,167.58952809893714,169.6591339111328,9927300
2020-02-28,162.60273785456775,169.2846357117684,160.7597849675649,167.9344482421875,12640800
2020-03-02,169.70839007767069,174.2319725560139,166.1506235119354,174.20240783691406,7761000
2020-03-03,175.82856471437097,175.83841460930915,164.672348137283,166.9193572998047,8323500
2020-03-04,169.75769014644754,173.26617759186914,167.17560411284103,173.14791870117188,5846300
2020-03-05,170.07306976236237,171.23598897282622,165.6677455624381,167.1460418701172,5797500
2020-03-06,163.27287712009272,165.1453945629894,156.24603807884424,161.7058868408203,9757700
2020-03-09,149.50502573242386,155.42807571751018,148.46036544592474,149.02212524414062,9657100
2020-03-10,154.95497692724805,159.13363221706416,148.81512530573852,159.00550842285156,11443900
2020-03-11,155.39849787262602,157.3104301358628,147.97745174351132,152.33351135253906,10341300
2020-03-12,142.2515270214408,149.04183434596024,138.07288561435698,138.5557861328125,13213000
2020-03-13,147.307288332193,147.336853052842,133.36203367383226,145.64173889160156,13765400
2020-03-16,132.07099209494842,139.50190359223546,121.60465862234378,122.50149536132812,13845300
2020-03-17,125.16241855528268,136.01310785257374,121.1414508632765,133.46058654785156,12191500
2020-03-18,123.72355269914016,131.48953364817925,113.62186076097055,130.3266143798828,12988200
2020-03-19,129.68598627495626,141.9164263493212,126.99549156939197,137.44212341308594,10444000
2020-03-20,138.38821975107587,144.08458602126987,132.65243886941562,137.33370971679688,12450100
2020-03-23,136.75224213573057,141.6404812967389,132.1498153149255,138.48678588867188,11898300
2020-03-24,142.53731961585896,151.90971179453769,141.10828797357993,151.4169464111328,11834400
2020-03-25,150.4610037450895,155.73360018205634,144.83363061342666,144.9321746826172,10639300
2020-03-26,146.15422443016078,152.83612222405182,145.59246464137894,152.49118041992188,8573100
2020-03-27,148.45049362642408,149.25862097779404,142.81325683938593,143.88748168945312,8273500
2020-03-30,145.58262288385956,150.78622473033641,144.43940345325277,147.6818084716797,7650400
2020-03-31,146.87367814279193,149.75142674881818,140.71410962698,141.89674377441406,10429700
2020-04-01,136.3186410250557,137.04792426522621,131.17416853462672,132.12026977539062,8737600
2020-04-02,132.07096820197376,133.4310054265645,128.15840998636594,132.37649536132812,8150500
2020-04-03,132.50461189286608,134.2194408835422,129.75498760165064,132.36663818359375,6004400
2020-04-06,136.98876402983836,147.68177788477942,136.29889556390773,145.41505432128906,12296800
2020-04-07,148.15486500874036,148.61806574418284,142.4190678360739,142.97097778320312,7859500
2020-04-08,144.18315997765325,149.95837110442645,142.9019669217876,148.93341064453125,7665500
2020-04-09,150.18503169073685,153.84135742160262,149.48529823545854,152.31378173828125,7094600
2020-04-13,151.8899968007671,153.06278081805613,147.8296148581583,150.29344177246094,5138600
2020-04-14,153.4569933906007,156.4924147423693,152.90508356136485,155.4280548095703,7334300
2020-04-15,152.8361136381567,154.9944284308483,151.77173860184277,153.37815856933594,4042600
2020-04-16,154.72833088703055,155.71386165701165,152.01812126958256,154.78746032714844,4391500
2020-04-17,157.68492767134845,160.8977526589698,155.3492244923787,160.2670135498047,7312900
2020-04-20,158.42408714685104,161.93257463341547,158.19741925768741,160.40499877929688,4686000
2020-04-21,157.68494491795968,157.77363909035407,145.8585740491127,148.38153076171875,13737900
2020-04-22,151.77174003751242,153.4471393550006,148.48992073733532,151.9097137451172,6660900
2020-04-23,151.2789935595681,154.20602154353332,149.30793175423173,149.52474975585938,6281400
2020-04-24,151.3676577856756,152.26449433879884,149.1107990817775,151.75201416015625,6710500
2020-04-27,153.28945706343,156.1475054630661,151.96884937429138,155.34922790527344,5036400
2020-04-28,157.19216639132816,158.48320936438586,151.94913519062797,152.22509765625,4731800
2020-04-29,155.59562704702424,159.54760063740628,154.2553043892624,158.1087188720703,5256700
