Date,Open,High,Low,Close,Volume
2020-01-02,18.93220083141428,18.961207953188854,18.71464436588036,18.78716278076172,43165445
2020-01-03,18.651798275283188,18.95154142859382,18.64696355076011,18.88385772705078,36296666
2020-01-06,18.850016804247087,18.927369958644306,18.767828925088782,18.903196334838867,51229797
2020-01-07,18.893527759556676,18.999888039678876,18.845181733722924,18.97571563720703,37337462
2020-01-08,19.014389970356046,19.120750237929734,18.99505107394814,19.033727645874023,53645832
2020-01-09,19.15107448962375,19.19044069674343,18.969011994796084,19.09202766418457,52228887
2020-01-10,19.096946197992946,19.165834567124186,18.978851318359375,18.978851318359375,39350339
2020-01-13,18.96409198885836,18.969012764948104,18.708219087912887,18.74758529663086,43780576
2020-01-14,18.72790010318706,18.79186894259786,18.673772814857937,18.74266242980957,35129295
2020-01-15,18.683615466492444,18.71313887885645,18.59504398678027,18.634408950805664,34526213
2020-01-16,18.693458625276183,18.762347007588087,18.58520403293432,18.7131404876709,36172077
2020-01-17,18.722985761651223,18.914891103210277,18.688541563648975,18.885366439819336,44477926
2020-01-21,18.870597734406907,19.01329524605377,18.786947040469087,18.954248428344727,57931090
2020-01-22,19.032979448783955,19.25932766747108,19.01329634666155,19.210121154785156,47842475
2020-01-23,19.170757710073392,19.18552003783328,18.969012110455783,19.008377075195312,38406592
2020-01-24,18.99361684288555,19.082187085561234,18.811553096152796,18.94441032409668,45632057
2020-01-27,18.708214813014813,18.97884998038836,18.703295280669423,18.82139015197754,46633398
2020-01-28,18.855835846332887,19.092025607891287,18.83123321215307,18.98377227783203,40842487
2020-01-29,18.944412281224082,18.973935698499346,18.221080480947798,18.230920791625977,76732420
2020-01-30,17.945521188982013,18.42774230169099,17.8717120378727,18.41790199279785,67100717
2020-01-31,18.363776186580676,18.580282881653872,18.32933199611995,18.511394500732422,54495840
2020-02-03,18.678696790669818,18.683617567053744,18.107904126818468,18.186634063720703,53993382
2020-02-04,18.245681467374087,18.57044275581938,18.176793085770615,18.516315460205078,42313451
2020-02-05,18.56551823490486,18.67377156167824,18.46218568334209,18.604883193969727,32620050
2020-02-06,18.629485163586274,18.934564517433223,18.629485163586274,18.91488265991211,34705482
